,match_id,game_time,game_duration,player0,player1,player2,player3,player4,player5,player6,player7,player8,player9
168,NA1_4225187688,1645424431832,1847,Akshan,JarvanIV,Kayle,Jinx,Anivia,Aatrox,Evelynn,Orianna,Kaisa,Janna
169,NA1_4225229900,1645422516022,1518,Aatrox,Hecarim,Diana,Xayah,Twitch,Kled,Evelynn,Veigar,Kaisa,Senna
170,NA1_4225133866,1645420275210,1570,Aatrox,Khazix,Singed,Xayah,Janna,Kled,Trundle,Annie,Vayne,Yuumi
171,NA1_4225113625,1645417840725,1470,Camille,Karthus,Qiyana,Xayah,Renata,Fiora,Graves,Kayle,Draven,Leona
172,NA1_4225048298,1645416156707,1366,Camille,Diana,Lissandra,Caitlyn,Blitzcrank,Jayce,Viego,Viktor,Jhin,TahmKench
173,NA1_4223770228,1645337895227,1184,Singed,JarvanIV,Ahri,Samira,Nautilus,Shen,Graves,Renekton,Jhin,Senna
174,NA1_4223677268,1645334261080,1855,Kennen,XinZhao,Zed,Ezreal,Ahri,Camille,Vi,Zilean,Caitlyn,Pyke
175,NA1_4176385226,1642116135858,1550,Darius,RekSai,Chogath,MissFortune,Rakan,Camille,Warwick,Viktor,Vayne,Yuumi
176,NA1_4176359353,1642114124087,1491,Graves,Diana,Yasuo,Jinx,Lulu,Mordekaiser,Qiyana,Leblanc,Jhin,Bard
177,NA1_4173635659,1641933266559,1727,TahmKench,Talon,Viktor,Jhin,Blitzcrank,Maokai,MasterYi,Syndra,Jinx,Sona
178,NA1_4173651853,1641931480516,1377,Fiora,Elise,Viktor,Jhin,Senna,Camille,Talon,Leblanc,Jinx,Sona
179,NA1_4173506220,1641927578454,2143,Camille,Elise,Yasuo,Caitlyn,Morgana,Gangplank,Nunu,Qiyana,Ezreal,Yuumi
180,NA1_4171025495,1641757797801,1518,Ornn,Kayn,Xerath,Draven,Thresh,Chogath,Viego,Qiyana,Jhin,Soraka
181,NA1_4171011160,1641756141343,1240,Malphite,Viego,Sylas,Jhin,Karma,Chogath,FiddleSticks,Ekko,Kaisa,Lulu
182,NA1_4169402615,1641666507598,971,Irelia,FiddleSticks,Katarina,Jhin,Sona,Poppy,Viego,Akali,Vayne,Karma
183,NA1_4169376180,1641664075378,2087,Camille,Graves,Vladimir,Jhin,Nami,Gwen,XinZhao,Corki,Ezreal,Pyke
184,NA1_4168281336,1641591034755,1592,Irelia,Viego,TwistedFate,Jinx,Lulu,Gnar,Khazix,Vex,Lucian,Nami
185,NA1_4168206622,1641589283930,1309,Fiora,Sejuani,Cassiopeia,Vayne,Soraka,Yone,Khazix,Taliyah,Caitlyn,Zilean
186,NA1_4167705825,1641568487047,1810,Camille,Khazix,Corki,Ziggs,Yuumi,Fiora,JarvanIV,Chogath,Ezreal,Leona
187,NA1_4167743598,1641566865732,1283,Nidalee,Talon,Viktor,Vayne,Sona,Camille,Khazix,MasterYi,Jhin,Pyke
188,NA1_4167740025,1641563588666,1895,Yone,Khazix,Zoe,Jhin,Zyra,Chogath,Kayn,Akshan,Draven,Sona
189,NA1_4167628470,1641561168922,1412,Gangplank,Talon,Sylas,Ezreal,Nami,Trundle,Khazix,Galio,Kaisa,Sona
190,NA1_4167074918,1641517936786,2006,Sett,Viego,XinZhao,Jhin,Lulu,Mordekaiser,Warwick,Zed,Draven,Blitzcrank
191,NA1_4166908960,1641512361858,2237,Gnar,Diana,Syndra,Jhin,Pantheon,Tryndamere,Gwen,Zed,Brand,Rell
192,NA1_4166932827,1641510203270,1477,Vayne,Khazix,Sylas,Jhin,Zilean,Yone,LeeSin,Cassiopeia,Xayah,Alistar
193,NA1_4166846604,1641507531825,1768,KogMaw,Zed,Trundle,Lucian,Sona,Vayne,Diana,Irelia,MissFortune,Lulu
194,NA1_4166645221,1641484906046,1322,Pyke,Viego,Katarina,Tristana,Lulu,Nidalee,Hecarim,Ezreal,MissFortune,Yuumi
195,NA1_4224592472,1645392074075,1507,Volibear,Khazix,Ryze,Tristana,Seraphine,Nasus,Evelynn,Kassadin,Jhin,Bard
196,NA1_4224556339,1645389915855,1712,Aatrox,XinZhao,Kassadin,Zeri,Renata,Sett,Taliyah,Diana,Twitch,Sona
197,NA1_4223688483,1645334652108,1861,Aatrox,Twitch,Kassadin,Vayne,Lulu,Fiora,Volibear,Ahri,Ezreal,Soraka
198,NA1_4223542994,1645327867072,2520,Azir,Khazix,Corki,Twitch,Thresh,Irelia,Karthus,Akshan,Veigar,Galio
199,NA1_4223472864,1645325064509,1859,Kayle,Kayn,Vex,Vayne,Blitzcrank,Gangplank,Graves,Corki,TahmKench,Senna
200,NA1_4222437523,1645243725814,1362,Aatrox,Kindred,Leblanc,Zeri,Lulu,Urgot,Graves,Yone,Ziggs,TwistedFate
201,NA1_4222369487,1645241383617,1546,Urgot,Ekko,Diana,Samira,Lux,Kennen,Graves,Akshan,Chogath,Nautilus
202,NA1_4205806823,1644003404357,751,Karma,MasterYi,Nunu,Vayne,Lulu,Zeri,Qiyana,Leblanc,Jinx,Janna
